City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Shellbrook,CA,53.2168,-106.4011,41.0,24,20,19.57,few clouds
1,Rikitea,PF,-23.1203,-134.9692,77.81,76,9,9.4,clear sky
2,Yellowknife,CA,62.456,-114.3525,41.0,48,20,10.36,few clouds
3,Geraldton,AU,-28.7667,114.6,57.2,72,0,10.36,clear sky
4,Bluff,NZ,-46.6,168.3333,60.01,79,79,1.99,broken clouds
5,Tasiilaq,GL,65.6145,-37.6368,17.6,67,1,2.3,clear sky
6,Barrow,US,71.2906,-156.7887,26.6,74,1,11.5,clear sky
7,Ushuaia,AR,-54.8,-68.3,53.6,62,20,6.91,few clouds
8,Jamestown,US,42.097,-79.2353,53.01,54,1,5.75,clear sky
9,Kapaa,US,22.0752,-159.319,78.8,61,1,12.66,clear sky
10,Thompson,CA,55.7435,-97.8558,28.4,40,40,12.66,scattered clouds
11,Cape Town,ZA,-33.9258,18.4232,69.01,94,0,16.11,clear sky
12,Shepsi,RU,44.0361,39.1489,54.55,96,100,8.75,light rain
13,Ust-Omchug,RU,61.15,149.6333,27.93,90,100,2.91,overcast clouds
14,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,75,12.66,light rain
15,Walvis Bay,NA,-22.9575,14.5053,84.99,44,37,8.99,scattered clouds
16,Hobart,AU,-42.8794,147.3294,60.8,51,75,16.11,broken clouds
17,Busselton,AU,-33.65,115.3333,60.37,78,87,6.6,light rain
18,Iqaluit,CA,63.7506,-68.5145,19.4,73,20,2.3,few clouds
19,Avarua,CK,-21.2078,-159.775,84.2,79,43,14.97,light rain
20,Sola,VU,-13.8833,167.55,82.47,73,73,8.99,broken clouds
21,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,82,20,2.3,few clouds
22,Jalu,LY,29.0331,21.5482,79.36,28,100,16.82,overcast clouds
23,Talnakh,RU,69.4865,88.3972,-17.01,89,68,1.72,broken clouds
24,Veraval,IN,20.9,70.3667,79.39,75,2,13.44,clear sky
25,Castro,BR,-24.7911,-50.0119,58.05,95,55,5.32,broken clouds
26,Ozernovskiy,RU,51.5,156.5167,36.93,77,100,16.35,overcast clouds
27,Hilo,US,19.7297,-155.09,82.4,54,20,12.66,few clouds
28,Cuenca,EC,-2.8833,-78.9833,64.4,68,75,6.91,light rain
29,Butaritari,KI,3.0707,172.7902,83.17,75,81,14.05,broken clouds
30,Hermanus,ZA,-34.4187,19.2345,64.0,90,83,5.17,broken clouds
31,Camacha,PT,33.0833,-16.3333,62.6,67,20,6.91,few clouds
32,Candolim,IN,15.5181,73.7626,81.59,79,19,3.38,few clouds
33,Cidreira,BR,-30.1811,-50.2056,70.63,73,50,12.64,scattered clouds
34,Dikson,RU,73.5069,80.5464,-12.6,100,100,4.94,overcast clouds
35,Punta Arenas,CL,-53.15,-70.9167,51.8,82,75,16.11,light rain
36,Asilah,MA,35.465,-6.0348,55.4,67,0,3.44,clear sky
37,Hinton,CA,53.4001,-117.5857,41.0,42,100,11.5,overcast clouds
38,Pevek,RU,69.7008,170.3133,21.27,94,100,14.67,snow
39,Goderich,CA,43.7501,-81.7165,48.2,53,70,4.61,broken clouds
40,Mataura,NZ,-46.1927,168.8643,60.01,79,94,1.99,overcast clouds
41,Bethel,US,41.3712,-73.414,59.0,38,90,8.05,overcast clouds
42,Seoul,KR,37.5683,126.9778,50.0,66,0,5.75,clear sky
43,Coquimbo,CL,-29.9533,-71.3436,57.2,88,90,4.61,overcast clouds
44,Tierranueva,MX,21.6833,-100.5667,83.16,14,0,2.51,clear sky
