City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.81,clear sky,-23.1203,-134.9692,Pension Maro'i
9,Kapaa,US,78.8,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
14,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
19,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
20,Sola,VU,82.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
22,Jalu,LY,79.36,overcast clouds,29.0331,21.5482,صاحبة الفخامة
24,Veraval,IN,79.39,clear sky,20.9,70.3667,Lords Inn Somnath
27,Hilo,US,82.4,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Butaritari,KI,83.17,broken clouds,3.0707,172.7902,Isles Sunset Lodge
32,Candolim,IN,81.59,few clouds,15.5181,73.7626,Resort Terra Paraiso
44,Tierranueva,MX,83.16,clear sky,21.6833,-100.5667,La nueva patria y libertad
45,Yaviza,PA,75.7,overcast clouds,8.1537,-77.6931,
48,Tabou,CI,80.62,overcast clouds,4.423,-7.3528,hotêl doufoulougou
49,Puerto Ayora,EC,78.8,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,Les Cayes,HT,78.82,few clouds,18.2,-73.75,Villa Orphee
52,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Jaguaribe,BR,76.1,overcast clouds,-5.8906,-38.6219,Hotel Pinheiro
58,Junnar,IN,75.81,clear sky,19.2,73.8833,Hotel Anand
59,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
70,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
73,Avera,US,75.2,clear sky,33.194,-82.5271,
75,Kokopo,PG,82.96,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
79,Atuona,PF,80.47,few clouds,-9.8,-139.0333,Villa Enata
84,Gaoual,GN,87.39,overcast clouds,11.75,-13.2,Hotel koliba
87,Beaufort,MY,78.8,few clouds,5.3473,115.7455,The Gem Hotel Beaufort
89,Kavieng,PG,83.86,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
91,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
93,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
95,Vao,NC,77.2,light rain,-22.6667,167.4833,Hotel Kou-Bugny
96,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
97,Portobelo,PA,78.01,overcast clouds,9.55,-79.65,Scuba Portobelo
106,Kismayo,SO,81.0,broken clouds,-0.3582,42.5454,Agan-Hotel
107,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
110,Roebourne,AU,78.22,clear sky,-20.7833,117.1333,Harding River Caravan Park
111,Varca,IN,80.65,scattered clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
112,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
113,Keti Bandar,PK,79.5,broken clouds,24.1447,67.4497,Haji laloo memon house
118,Salinopolis,BR,77.18,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
122,Padang,ID,76.01,scattered clouds,-0.9492,100.3543,Mercure Padang
129,Panama City,PA,77.0,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
131,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
132,Portland,US,82.99,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
